Projeto;Tipo de Serviço;Data Prog.;Status;Intervenção;PowerON;Equipamento;Horário Início;Horário Fim;Parceira;Região;Latitude;Longitude;Link Google Maps URL;Link My Maps URL
DMP/A.LES.21.27088;Rede Compacta;03/08/2026;Liberado para Execução;PIE;RESOLVIDO;356ET166888;10:00;14:00;Engelmig (Área 11) NEC e UPS;LES;-23.61426294;-46.43493178;https://www.google.com/maps/search/?api=1&query=-23.61426294,-46.43493178;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.23.02284;Segurança Operativa;03/08/2026;Liberado para Execução;FI;DEVOLVIDO;010IP020983;10:00;14:00;Start Engenharia (Área 8B, 9  e 11) NEC;LES;-23.71323554;-46.50359021;https://www.google.com/maps/search/?api=1&query=-23.71323554,-46.50359021;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.24.04516;Segurança Operativa;03/08/2026;Liberado para Execução;FI;16538095;010ET221443;10:00;13:30;Start Engenharia (Área 8B, 9  e 11) NEC;LES;-23.7009144;-46.49290084;https://www.google.com/maps/search/?api=1&query=-23.7009144,-46.49290084;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.25.06550;Reforma de Rede Secundaria RTRI;03/08/2026;Liberado para Execução;FI;16538006;356ET052420;10:00;14:00;Start Engenharia (Área 8B, 9  e 11) NEC;LES;-23.51967543;-46.40659923;https://www.google.com/maps/search/?api=1&query=-23.51967543,-46.40659923;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.LES.25.01179;Ligação Nova;04/08/2026;Liberado para Execução;FI;16542036;352ET163092;10:30;12:30;Conecta Obras Extras (Área 8B, 9 e 11) NEC;LES;-23.48830015;-46.50264284;https://www.google.com/maps/search/?api=1&query=-23.48830015,-46.50264284;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.LES.25.01255;Ligação Nova;04/08/2026;Liberado para Execução;FI;16542036;352ET163092;10:30;12:30;Conecta Obras Extras (Área 8B, 9 e 11) NEC;LES;-23.48830015;-46.50264284;https://www.google.com/maps/search/?api=1&query=-23.48830015,-46.50264284;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.LES.26.00894;Ligação Nova;04/08/2026;Liberado para Execução;FI;16542240;353ET017598;10:00;14:00;Start Engenharia (Área 8B, 9  e 11) NEC;LES;-23.52252514;-46.52775917;https://www.google.com/maps/search/?api=1&query=-23.52252514,-46.52775917;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.LES.26.00972;Ligação Nova;04/08/2026;Liberado para Execução;FI;16542240;353ET017598;10:00;14:00;Start Engenharia (Área 8B, 9  e 11) NEC;LES;-23.52252514;-46.52775917;https://www.google.com/maps/search/?api=1&query=-23.52252514,-46.52775917;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.21.27009;Rede Compacta;04/08/2026;Liberado para Documentação;PIE;nan;356ET166688;10:00;14:00;Engelmig (Área 11) NEC e UPS;LES;-23.61262079;-46.45107418;https://www.google.com/maps/search/?api=1&query=-23.61262079,-46.45107418;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.NOR.25.00236;Ligação Nova;04/08/2026;Liberado para Documentação;BRA;nan;251ET057775;09:00;17:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.61383083;-46.66875126;https://www.google.com/maps/search/?api=1&query=-23.61383083,-46.66875126;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.NOR.25.01041;Ligação Nova;04/08/2026;Liberado para Documentação;BRA;nan;251ET005369;09:00;17:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.60653041;-46.69172623;https://www.google.com/maps/search/?api=1&query=-23.60653041,-46.69172623;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.25.06467;Reforma de Rede Secundária;04/08/2026;Liberado para Execução;FI;16541989;351ET141064;10:00;14:00;ZZOUT-Conecta Área 4 (Contrato Antigo);NOR;-23.43698634;-46.79064905;https://www.google.com/maps/search/?api=1&query=-23.43698634,-46.79064905;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.26.00596;Segurança Operativa;04/08/2026;Liberado para Execução;FI;16538768;251BF074178;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.61969753;-46.63935876;https://www.google.com/maps/search/?api=1&query=-23.61969753,-46.63935876;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.ABC.26.00055;Migração para Média Tensão;05/08/2026;Liberado para Execução;FI;16542926;015ET068150;00:30;04:30;Start Engenharia (Área 8B, 9  e 11) NEC;ABC;-23.66510147;-46.4476826;https://www.google.com/maps/search/?api=1&query=-23.66510147,-46.4476826;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.LES.26.00594;Alteração de Carga;05/08/2026;Liberado para Execução;FI;16543666;020ET033598;10:00;14:00;Start Engenharia (Área 8B, 9  e 11) NEC;LES;-23.71056268;-46.4054999;https://www.google.com/maps/search/?api=1&query=-23.71056268,-46.4054999;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.21.25788;Rede Compacta;05/08/2026;Liberado para Documentação;PIE;nan;356ET166876;10:00;14:00;Engelmig (Área 11) NEC e UPS;LES;-23.61342401;-46.43208409;https://www.google.com/maps/search/?api=1&query=-23.61342401,-46.43208409;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.NOR.25.01158;Regularização de Ligações Informais;05/08/2026;Liberado para Execução;FI;16543537;354BF052658;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.50597139;-46.56195326;https://www.google.com/maps/search/?api=1&query=-23.50597139,-46.56195326;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.NOR.25.01440;Regularização de Ligações Informais;05/08/2026;Liberado para Execução;FI;16543537;354BF052658;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.50597139;-46.56195326;https://www.google.com/maps/search/?api=1&query=-23.50597139,-46.56195326;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.NOR.26.00115;Regularização de Ligações Informais;05/08/2026;Liberado para Execução;FI;16543537;354BF052658;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.50597139;-46.56195326;https://www.google.com/maps/search/?api=1&query=-23.50597139,-46.56195326;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.NOR.26.00139;Regularização de Ligações Informais;05/08/2026;Liberado para Execução;FI;16543537;354BF052658;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.50597139;-46.56195326;https://www.google.com/maps/search/?api=1&query=-23.50597139,-46.56195326;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.NOR.26.00493;Alteração de Carga;05/08/2026;Liberado para Execução;FI;16543381;257ET096109;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.5708764;-46.6345043;https://www.google.com/maps/search/?api=1&query=-23.5708764,-46.6345043;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
