Projeto,Tipo de Serviço,Data Prog.,Status,Intervenção,PowerON,Equipamento,Horário Início,Horário Fim,Parceira,Região,Latitude,Longitude,Link Google Maps URL,Link My Maps URL
DAC/A.NOR.26.00510,Ligação Provisória,06/07/2026,Liberado para Execução,BRA,16452651,354ET043821,08:00,17:00,Conecta Obras (Área 4 e 5) NEC,NOR,-23.48775792,-46.62626606,"https://www.google.com/maps/search/?api=1&query=-23.48775792,-46.62626606",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.NOR.26.00509,Ligação Provisória,06/07/2026,Liberado para Execução,BRA,16452651,354ET043821,08:00,17:00,Conecta Obras (Área 4 e 5) NEC,NOR,-23.48775792,-46.62626606,"https://www.google.com/maps/search/?api=1&query=-23.48775792,-46.62626606",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.NOR.24.00665,Afastamento de Rede (Clientes),06/07/2026,Liberado para Execução,OLVR,,DJCTA0114,08:00,17:00,Conecta Obras Extras (Área 4 e 5) NEC,NOR,-23.61129571,-46.58124954,"https://www.google.com/maps/search/?api=1&query=-23.61129571,-46.58124954",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.NOR.26.00521,Alteração de Carga,08/07/2026,Liberado para Execução,BRA,16440089,351ET000919,08:00,17:00,Conecta Obras (Área 4 e 5) NEC,NOR,-23.512535,-46.65628334,"https://www.google.com/maps/search/?api=1&query=-23.512535,-46.65628334",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.NOR.26.00406,Remoção de Poste,08/07/2026,Liberado para Execução,BRA,16440031,251ET016295,08:00,17:00,Conecta Obras (Área 4 e 5) NEC,NOR,-23.61992923,-46.65219059,"https://www.google.com/maps/search/?api=1&query=-23.61992923,-46.65219059",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.LES.25.00266,Migração para Média Tensão,09/07/2026,Liberado para Execução,BRA,16457484,356ET006464,09:00,16:00,"Alpitel Energy (Área 7, 8A e 10) NEC",LES,-23.57270971,-46.44682847,"https://www.google.com/maps/search/?api=1&query=-23.57270971,-46.44682847",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.25.06427,Reforma de Rede Secundária,04/07/2026,Liberado para Execução,OLVR,,257ET079104,08:00,17:00,Conecta Obras (Área 4 e 5) NEC,NOR,-23.60264565,-46.64544866,"https://www.google.com/maps/search/?api=1&query=-23.60264565,-46.64544866",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.26.00476,Reforma de Rede Secundária,03/07/2026,Liberado para Execução,OLVR,,151ET032601,08:00,17:00,Conecta Obras (Área 4 e 5) NEC,NOR,-23.55867995,-46.64348998,"https://www.google.com/maps/search/?api=1&query=-23.55867995,-46.64348998",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.26.00709,Reforma de Rede Secundária,03/07/2026,Liberado para Execução,OLVR,,151ET032601,08:00,17:00,Conecta Obras (Área 4 e 5) NEC,NOR,-23.55867995,-46.64348998,"https://www.google.com/maps/search/?api=1&query=-23.55867995,-46.64348998",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.25.06380,Reforma de Rede Secundária,04/07/2026,Liberado para Execução,OLVR,,351ET067859,08:00,17:00,Conecta Obras (Área 4 e 5) NEC,NOR,-23.46650725,-46.67131252,"https://www.google.com/maps/search/?api=1&query=-23.46650725,-46.67131252",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
