Projeto,Tipo de Serviço,Data Prog.,Status,Contrato,OS,Equipamento,Região,Início Prog.,Fim Prog.,Parceira,Latitude,Longitude,Link Google Maps
DAC/A.NOR.26.00246,Ligação Nova,12/06/2026,Liberado para Execução,BRA,16306421,ET-052201,NOR,12/06/2026 09:00,12/06/2026 14:00,Conecta Obras (Área 4 e 5) NEC,,,
DAC/A.LES.25.00266,Migração para Média Tensão,09/06/2026,Liberado para Execução,BRA,16304189,356ET006464,LES,09/06/2026 09:00,09/06/2026 16:00,"Alpitel Energy (Área 7, 8A e 10) NEC",-23.57270971,-46.44682847,"https://www.google.com/maps/place/-23.57270971,-46.44682847"
DAC/A.NOR.26.00413,Afastamento de Rede (Clientes),11/06/2026,Liberado para Execução,OLVR,,351ET037570,NOR,11/06/2026 08:00,11/06/2026 17:00,Conecta Obras (Área 4 e 5) NEC,-23.44417235,-46.78647304,"https://www.google.com/maps/place/-23.44417235,-46.78647304"
DAC/A.NOR.26.00366,Remoção de Poste,12/06/2026,Liberado para Execução,OLVR,,251ET028963,NOR,12/06/2026 08:00,12/06/2026 17:00,Conecta Obras (Área 4 e 5) NEC,-23.61074403,-46.69287922,"https://www.google.com/maps/place/-23.61074403,-46.69287922"
DAC/A.NOR.23.00635,Afastamento de Rede (Clientes),05/06/2026,Liberado para Execução,PIE,16289474,351RA120112,NOR,05/06/2026 09:00,05/06/2026 11:00,Conecta Obras Extras (Área 4 e 5) NEC,-23.48705198,-46.65283181,"https://www.google.com/maps/place/-23.48705198,-46.65283181"
DAC/A.NOR.22.01134,Afastamento de Rede (Clientes),05/06/2026,Liberado para Execução,PIE,16289474,351RA120112,NOR,05/06/2026 09:00,05/06/2026 11:00,Conecta Obras Extras (Área 4 e 5) NEC,-23.48705198,-46.65283181,"https://www.google.com/maps/place/-23.48705198,-46.65283181"
DAC/A.NOR.23.00780,Afastamento de Rede (Clientes),05/06/2026,Liberado para Execução,PIE,16289474,351RA120112,NOR,05/06/2026 09:00,05/06/2026 11:00,Conecta Obras Extras (Área 4 e 5) NEC,-23.48705198,-46.65283181,"https://www.google.com/maps/place/-23.48705198,-46.65283181"
DAC/A.NOR.23.00698,Afastamento de Rede (Clientes),05/06/2026,Liberado para Execução,PIE,16289474,351RA120112,NOR,05/06/2026 09:00,05/06/2026 11:00,Conecta Obras Extras (Área 4 e 5) NEC,-23.48705198,-46.65283181,"https://www.google.com/maps/place/-23.48705198,-46.65283181"
DAC/A.NOR.23.00781,Afastamento de Rede (Clientes),05/06/2026,Liberado para Execução,PIE,16289474,351RA120112,NOR,05/06/2026 09:00,05/06/2026 11:00,Conecta Obras Extras (Área 4 e 5) NEC,-23.48705198,-46.65283181,"https://www.google.com/maps/place/-23.48705198,-46.65283181"
DAC/A.NOR.23.00799,Afastamento de Rede (Clientes),05/06/2026,Liberado para Execução,PIE,16289474,351RA120112,NOR,05/06/2026 09:00,05/06/2026 11:00,Conecta Obras Extras (Área 4 e 5) NEC,-23.48705198,-46.65283181,"https://www.google.com/maps/place/-23.48705198,-46.65283181"
DAC/A.NOR.23.00810,Afastamento de Rede (Clientes),05/06/2026,Liberado para Execução,PIE,16289474,351RA120112,NOR,05/06/2026 09:00,05/06/2026 11:00,Conecta Obras Extras (Área 4 e 5) NEC,-23.48705198,-46.65283181,"https://www.google.com/maps/place/-23.48705198,-46.65283181"
DAC/A.NOR.23.00811,Afastamento de Rede (Clientes),05/06/2026,Liberado para Execução,PIE,16289474,351RA120112,NOR,05/06/2026 09:00,05/06/2026 11:00,Conecta Obras Extras (Área 4 e 5) NEC,-23.48705198,-46.65283181,"https://www.google.com/maps/place/-23.48705198,-46.65283181"
DAC/A.NOR.25.01773,Ligação Nova,13/06/2026,Liberado para Documentação,BRA,,ET-023252,NOR,13/06/2026 08:00,13/06/2026 17:00,Conecta Obras (Área 4 e 5) NEC,-23.59695676,-46.68075976,"https://www.google.com/maps/place/-23.59695676,-46.68075976"
DAC/A.NOR.26.00406,Remoção de Poste,12/06/2026,Liberado para Execução,BRA,16306276,251ET016295,NOR,12/06/2026 09:00,12/06/2026 17:00,Conecta Obras (Área 4 e 5) NEC,-23.62119427,-46.65050215,"https://www.google.com/maps/place/-23.62119427,-46.65050215"
DMP/A.NOR.26.02776,Segurança Operativa,09/06/2026,Liberado para Execução,OLVR,,354ET132680,NOR,09/06/2026 08:00,09/06/2026 17:00,Conecta Obras (Área 4 e 5) NEC,-23.48252396,-46.6213116,"https://www.google.com/maps/place/-23.48252396,-46.6213116"
DAC/A.NOR.25.00979,Ligação Provisória,13/06/2026,Liberado para Documentação,BRA,,251ET132431,NOR,13/06/2026 08:00,13/06/2026 17:00,Conecta Obras (Área 4 e 5) NEC,-23.62664226,-46.66154939,"https://www.google.com/maps/place/-23.62664226,-46.66154939"
DAC/A.NOR.26.00521,Alteração de Carga,12/06/2026,Liberado para Execução,BRA,16306360,351ET000919,NOR,12/06/2026 09:00,12/06/2026 17:00,Conecta Obras (Área 4 e 5) NEC,,,
