"Projeto";"Tipo de Serviço";"Data Prog.";"Status";"Intervenção";"PowerON";"Equipamento";"Horário Início";"Horário Fim";"Parceira";"Região";"Latitude";"Longitude";"Situação Coordenadas";"Link Google Maps";"Link My Maps";"Origem"
"DMP/A.LES.26.03105";"Rede Compacta";"10/09/2026";"Liberado para Execução";"PIE";"16743647";"356ET163125";"10:00";"14:00";"Engelmig (Área 11) NEC e UPS";"LES";"-23.5821241173327";"-46.4155430068398";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.5821241173327,-46.4155430068398";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
"DMP/A.LES.26.03156";"Rede Compacta";"10/09/2026";"Liberado para Execução";"PIE";"16743647";"356ET059090";"10:00";"14:00";"Engelmig (Área 11) NEC e UPS";"LES";"-23.5836169965131";"-46.4177730770438";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.5836169965131,-46.4177730770438";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
"DAC/A.ABC.26.00375";"Ligação Nova";"11/09/2026";"Liberado para Execução";"FI";"16700198";"010ET035485";"00:30";"04:30";"Start Engenharia (Área 8B, 9  e 11) NEC";"ABC";"-23.6633511102505";"-46.5393324757528";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.6633511102505,-46.5393324757528";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
"DAC/A.LES.25.00104";"Alteração de Carga";"11/09/2026";"Pendente de Aprovação";"";"";"";"";"";"Start Engenharia (Área 8B, 9  e 11) NEC";"LES";"";"";"Sem coordenadas";"";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"Sem Coordenadas"
"DAC/A.LES.26.00488";"Ligação Nova";"11/09/2026";"Liberado para Execução";"FI";"16681515";"010ET015624";"09:50";"13:50";"Start Engenharia (Área 8B, 9  e 11) NEC";"LES";"-23.6215813526151";"-46.5295615775894";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.6215813526151,-46.5295615775894";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
"DAC/A.LES.26.00842";"Ligação Nova";"11/09/2026";"Liberado para Execução";"";"";"";"";"";"Start Engenharia (Área 8B, 9  e 11) NEC";"LES";"";"";"Sem coordenadas";"";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"Sem Coordenadas"
"DAC/A.LES.26.00908";"Ligação Provisória";"11/09/2026";"Liberado para Execução";"FI";"16684495";"353ET002697";"09:40";"13:40";"Start Engenharia (Área 8B, 9  e 11) NEC";"LES";"-23.5419027756309";"-46.5607276382094";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.5419027756309,-46.5607276382094";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
"DMP/A.LES.25.00465";"Religador Automático";"11/09/2026";"Liberado para Execução";"FI";"16684595";"356ET065638";"10:30";"14:30";"Alpitel Energy (Área 7, 8A e 10) NEC";"LES";"-23.5957464147953";"-46.4859504630433";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.5957464147953,-46.4859504630433";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
"DMP/A.LES.26.00030";"Reforma de Rede Secundaria RTRI";"11/09/2026";"Liberado para Execução";"";"";"";"";"";"Start Engenharia (Área 8B, 9  e 11) NEC";"LES";"";"";"Sem coordenadas";"";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"Sem Coordenadas"
"DAC/A.LES.25.00141";"Afastamento de Rede (Clientes)";"12/09/2026";"Liberado para Execução";"";"";"";"";"";"Start Engenharia (Área 8B, 9  e 11) NEC";"LES";"";"";"Sem coordenadas";"";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"Sem Coordenadas"
"DAC/A.LES.25.00184";"Afastamento de Rede (Clientes)";"12/09/2026";"Liberado para Execução";"PIE";"16742956-1";"020ET065992";"10:30";"14:30";"Start Engenharia (Área 8B, 9  e 11) NEC";"LES";"-23.7091038695141";"-46.4188554574582";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.7091038695141,-46.4188554574582";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
"DAC/A.LES.25.00185";"Afastamento de Rede (Clientes)";"12/09/2026";"Liberado para Execução";"PIE";"16742956-1";"020ET065992";"10:30";"14:30";"Start Engenharia (Área 8B, 9  e 11) NEC";"LES";"-23.7091038695141";"-46.4188554574582";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.7091038695141,-46.4188554574582";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
"DAC/A.LES.25.00188";"Afastamento de Rede (Clientes)";"12/09/2026";"Liberado para Execução";"PIE";"16742956";"020ET228935";"10:30";"14:30";"Start Engenharia (Área 8B, 9  e 11) NEC";"LES";"-23.7084691577642";"-46.417932842599";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.7084691577642,-46.417932842599";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
"DAC/A.LES.26.00161";"Ligação Nova";"12/09/2026";"Liberado para Execução";"FI";"16684691";"015ET027104";"09:45";"13:45";"Start Engenharia (Área 8B, 9  e 11) NEC";"LES";"-23.671088517992";"-46.4544648796533";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.671088517992,-46.4544648796533";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
"DAC/A.LES.26.00907";"Ligação Provisória";"12/09/2026";"Liberado para Execução";"FI";"16696066";"356ET057568";"01:00";"04:00";"Start Engenharia (Área 8B, 9  e 11) NEC";"LES";"-23.5956512015011";"-46.4764197173871";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.5956512015011,-46.4764197173871";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
